                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4729,                 3.1454,                 1.3163,                0.00502,                    0.5,                0.15448,                0.06031,                 1.2239,                 3.9632,                 1.1866,              0.0003334,              0.0003334,              0.0003334
                      1,                  1.359,                 1.8896,                 1.1669,                0.00316,                    0.5,                 0.3386,                0.16275,                 1.3603,                 3.8664,                 1.2676,             0.00067924,             0.00067924,             0.00067924
                      2,                 1.3421,                 1.5584,                 1.1427,                0.30762,                0.43548,                0.43572,                0.28614,                  1.601,                 3.2328,                 1.2101,              0.0010207,              0.0010207,              0.0010207
                      3,                 1.3277,                 1.5355,                 1.1339,                0.60143,                0.51923,                0.54002,                0.38992,                  1.328,                 2.3839,                 1.1351,              0.0013579,              0.0013579,              0.0013579
                      4,                 1.3602,                 1.4146,                 1.1696,                0.67604,                0.73077,                0.65769,                0.43768,                 1.2438,                 1.7289,                 1.0729,              0.0016257,              0.0016257,              0.0016257
                      5,                 1.3246,                 1.2724,                 1.1188,                0.67593,                0.73077,                0.66151,                0.45783,                 1.1233,                 1.3776,                 1.0435,              0.0016257,              0.0016257,              0.0016257
                      6,                 1.2961,                 1.2274,                 1.1213,                0.71517,                0.74341,                0.71946,                0.45927,                 1.1227,                 1.3429,                 1.0374,              0.0016154,              0.0016154,              0.0016154
                      7,                 1.3089,                 1.1323,                 1.1272,                0.67732,                0.73077,                0.66609,                0.44712,                  1.176,                 1.3471,                 1.0811,              0.0016051,              0.0016051,              0.0016051
                      8,                 1.2819,                 1.0869,                  1.116,                0.82368,                0.69231,                0.79639,                0.48559,                 1.1866,                 1.3157,                 1.0627,              0.0015948,              0.0015948,              0.0015948
                      9,                 1.2657,                   1.01,                 1.0903,                0.74653,                0.78846,                0.77787,                0.49389,                 1.1767,                 1.1465,                 1.0462,              0.0015845,              0.0015845,              0.0015845
                     10,                 1.2342,                0.95159,                 1.0922,                0.76319,                0.78846,                0.81566,                0.49925,                 1.1563,                0.92407,                 1.0497,              0.0015742,              0.0015742,              0.0015742
                     11,                 1.2283,                0.90156,                 1.1129,                0.82174,                0.59988,                0.76585,                 0.4803,                  1.076,                 1.0389,                   1.04,              0.0015639,              0.0015639,              0.0015639
                     12,                 1.2834,                0.89343,                 1.1335,                 0.8142,                0.82516,                0.83771,                0.50031,                 1.1592,                0.85065,                 1.0515,              0.0015535,              0.0015535,              0.0015535
                     13,                 1.2051,                0.82868,                 1.0774,                0.82029,                0.88486,                0.92627,                0.57132,                 1.1155,                0.81323,                 1.0431,              0.0015432,              0.0015432,              0.0015432
                     14,                 1.2222,                0.80548,                 1.0608,                0.89122,                0.90095,                0.93014,                0.54377,                 1.1579,                0.75472,                 1.0723,              0.0015329,              0.0015329,              0.0015329
                     15,                 1.2165,                0.81674,                 1.0771,                0.80457,                0.92463,                0.91354,                0.54691,                 1.0924,                0.74851,                 1.0156,              0.0015226,              0.0015226,              0.0015226
                     16,                 1.1592,                0.75772,                 1.0528,                0.80554,                0.86538,                0.87869,                0.52642,                 1.1583,                0.73799,                 1.0306,              0.0015123,              0.0015123,              0.0015123
                     17,                 1.2672,                0.80972,                 1.0874,                0.80068,                0.82984,                0.80019,                0.49219,                 1.0638,                0.66563,                 1.0401,               0.001502,               0.001502,               0.001502
                     18,                 1.2227,                0.74758,                 1.0521,                0.79369,                0.92308,                0.88174,                0.58856,                 1.0397,                0.65619,                0.99857,              0.0014917,              0.0014917,              0.0014917
                     19,                 1.2475,                0.78265,                  1.084,                0.83157,                0.78846,                0.79465,                 0.5079,                 1.1285,                0.76261,                 1.0371,              0.0014813,              0.0014813,              0.0014813
                     20,                 1.1962,                0.73902,                 1.0692,                0.79341,                0.84615,                0.82637,                0.49738,                 1.1717,                0.67097,                  1.065,               0.001471,               0.001471,               0.001471
                     21,                 1.1942,                0.74027,                 1.0691,                 0.9324,                0.82692,                0.89039,                0.54857,                 1.1349,                   0.67,                 1.0382,              0.0014607,              0.0014607,              0.0014607
                     22,                 1.1232,                0.67761,                 1.0297,                0.79071,                0.86538,                  0.863,                0.56945,                  1.027,                0.63212,                 1.0157,              0.0014504,              0.0014504,              0.0014504
                     23,                 1.2079,                0.74864,                 1.0798,                0.78974,                0.80769,                0.85901,                0.56238,                 1.0619,                0.64963,                 0.9893,              0.0014401,              0.0014401,              0.0014401
                     24,                  1.146,                0.67355,                 1.0481,                0.90386,                0.87645,                0.91181,                0.57948,                 1.0751,                0.60585,                 1.0135,              0.0014298,              0.0014298,              0.0014298
                     25,                 1.1354,                0.65185,                 1.0474,                0.87933,                0.88462,                0.90875,                0.57514,                 1.0822,                0.59355,                 1.0076,              0.0014195,              0.0014195,              0.0014195
                     26,                 1.1372,                 0.6841,                 1.0337,                0.85759,                0.82658,                0.87939,                0.51844,                 1.2159,                0.64922,                 1.0798,              0.0014091,              0.0014091,              0.0014091
                     27,                 1.1149,                0.69918,                 1.0252,                0.87697,                0.80769,                0.86708,                0.54777,                  1.162,                0.72387,                 1.0237,              0.0013988,              0.0013988,              0.0013988
                     28,                 1.1283,                0.68038,                  1.042,                0.92186,                0.88462,                0.92492,                0.59218,                  1.005,                0.58265,                0.98578,              0.0013885,              0.0013885,              0.0013885
                     29,                 1.0989,                 0.6699,                 1.0484,                0.88737,                0.88518,                0.90954,                0.56729,                 1.0943,                0.59048,                 1.0129,              0.0013782,              0.0013782,              0.0013782
                     30,                 1.1093,                 0.6342,                 1.0292,                 0.8928,                0.92308,                0.89446,                0.52667,                 1.1819,                0.60457,                 1.0264,              0.0013679,              0.0013679,              0.0013679
                     31,                 1.1224,                0.63151,                 1.0312,                0.94661,                 0.9159,                0.95936,                 0.5889,                 1.0777,                0.56013,                0.98958,              0.0013576,              0.0013576,              0.0013576
